iter,train_loss,val_loss,lr,tokens_per_sec,iter_ms
1935,1.935098,,2.219200e-04,19678.3,1665.18
1940,1.940954,,2.215191e-04,19682.5,1664.83
1945,1.860513,,2.211176e-04,19685.2,1664.60
1950,1.961570,,2.207154e-04,19695.7,1663.72
1955,1.918413,,2.203127e-04,19697.0,1663.61
1960,1.907119,,2.199094e-04,19692.9,1663.95
1965,1.881034,,2.195056e-04,19689.5,1664.24
1970,1.880930,,2.191011e-04,19683.4,1664.75
1975,1.893302,,2.186960e-04,19677.0,1665.29
1980,1.948249,,2.182904e-04,19675.9,1665.39
1985,1.929178,,2.178842e-04,19678.1,1665.20
1990,1.913854,,2.174775e-04,19684.3,1664.67
1995,1.887409,,2.170701e-04,19680.1,1665.04
2000,1.833576,1.862104,2.166623e-04,,
2000,1.905489,,2.166623e-04,6224.8,5264.14
2005,1.918874,,2.162538e-04,17643.7,1857.20
2010,1.934733,,2.158448e-04,19686.5,1664.49
2015,1.861495,,2.154353e-04,19677.7,1665.24
2020,1.886004,,2.150253e-04,19677.0,1665.29
2025,1.909668,,2.146147e-04,19667.0,1666.14
2030,1.893291,,2.142035e-04,19659.1,1666.81
2035,1.886915,,2.137919e-04,19656.0,1667.07
2040,1.924465,,2.133797e-04,19500.6,1680.36
2045,1.896689,,2.129670e-04,18835.3,1739.71
2050,1.826613,,2.125538e-04,19647.0,1667.83
2055,1.838196,,2.121400e-04,19674.3,1665.52
2060,1.903835,,2.117258e-04,19659.3,1666.79
2065,1.827180,,2.113111e-04,19659.8,1666.75
2070,1.923583,,2.108958e-04,19670.8,1665.82
2075,1.852173,,2.104801e-04,19669.4,1665.93
2080,1.817932,,2.100639e-04,19669.5,1665.93
2085,1.939619,,2.096472e-04,19668.0,1666.05
2090,1.904076,,2.092301e-04,19666.2,1666.21
2095,1.831883,,2.088124e-04,19681.1,1664.95
2100,1.903409,,2.083943e-04,19678.6,1665.16
2105,1.873605,,2.079758e-04,19664.8,1666.32
2110,1.908921,,2.075567e-04,19680.9,1664.96
2115,1.881874,,2.071372e-04,19676.1,1665.37
2120,1.904298,,2.067173e-04,19669.3,1665.95
2125,1.889980,,2.062969e-04,19684.2,1664.69
2130,1.825163,,2.058761e-04,19667.8,1666.07
2135,1.809996,,2.054548e-04,19688.4,1664.33
2140,1.931356,,2.050331e-04,19688.1,1664.35
2145,1.859197,,2.046110e-04,19697.3,1663.58
